metric_date,open,high,low,close,volume,market_cap
2014-12-15,351.36,351.82,344.93,345.35,17264200.0,4700905209.0
2014-12-16,345.67,345.86,327.06,327.06,30864900.0,4453202603.05
2014-12-17,326.86,333.95,315.15,319.78,37567900.0,4355021349.6
2014-12-18,319.79,323.71,304.23,311.4,39173000.0,4241890806.3
2014-12-19,311.18,318.53,306.77,317.84,23823100.0,4330801580.8
2014-12-20,317.62,330.33,316.04,329.96,20856700.0,4496945577.3
2014-12-21,329.54,329.63,318.9,320.84,15207600.0,4373820007.82
2014-12-22,321.07,334.12,320.42,331.89,22315100.0,4525705358.95
2014-12-23,332.02,336.29,329.6,334.57,16574200.0,4563595537.2
2014-12-24,334.39,334.74,321.36,322.53,15092300.0,4400637769.3
2014-12-25,322.29,322.67,316.96,319.01,9883640.0,4353789283.2
2014-12-26,319.15,331.42,316.63,327.92,16410500.0,4476703674.6
2014-12-27,327.58,328.91,312.63,315.86,15185200.0,4313267196.5
2014-12-28,316.16,320.03,311.08,317.24,11676600.0,4333389568.3
2014-12-29,317.7,320.27,312.31,312.67,12302500.0,4272268162.75
2014-12-30,312.72,314.81,309.37,310.74,12528300.0,4247060094.9
2014-12-31,310.91,320.19,310.21,320.19,13942900.0,4377510594.68
2015-01-01,320.43,320.43,314.0,314.25,8036550.0,4297535768.18
2015-01-02,314.08,315.84,313.57,315.03,7860650.0,4309551126.2
2015-01-03,314.85,315.15,281.08,281.08,33054400.0,3846269871.6
2015-01-04,281.15,287.23,257.61,264.2,55629100.0,3616320974.62
2015-01-05,265.08,278.34,265.08,274.47,43962800.0,3758098008.0
2015-01-06,274.61,287.55,272.7,286.19,23245700.0,3919623079.83
2015-01-07,286.08,298.75,283.08,294.34,24866800.0,4032255014.65
2015-01-08,294.14,294.14,282.17,283.35,19982500.0,3882766765.62
2015-01-09,282.38,291.11,280.53,290.41,18718600.0,3980426430.6
2015-01-10,287.3,288.13,273.97,274.8,15264300.0,3767535598.8
2015-01-11,274.61,279.64,265.04,265.66,18200800.0,3643307730.5
2015-01-12,266.15,272.2,265.2,267.8,18880300.0,3673551884.1
2015-01-13,267.39,268.28,219.91,225.86,72843904.0,3099004901.85
2015-01-14,223.89,223.89,171.51,178.1,97638704.0,2444379076.08
2015-01-15,176.9,229.07,176.9,209.84,81773504.0,2880801385.2
2015-01-16,209.07,221.59,199.77,208.1,38421000.0,2857541182.18
2015-01-17,207.83,211.73,194.88,199.26,23469700.0,2736875952.0
2015-01-18,200.05,218.7,194.51,210.34,30085100.0,2889858037.95
2015-01-19,211.47,216.73,207.32,214.86,18658300.0,2952759521.65
2015-01-20,212.91,215.24,205.15,211.32,24051100.0,2904651464.0
